,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,nasdaq_open,nasdaq_high,nasdaq_low,nasdaq_close,nasdaq_volume,sp500_close,btc_return,btc_return_30d,btc_volatility_30d,btc_drawdown,btc_crash_flag,btc_boom_flag,btc_convexity,btc_liquidity_cost,eth_return,eth_return_30d,eth_volatility_30d,eth_drawdown,eth_crash_flag,eth_boom_flag,eth_convexity,eth_liquidity_cost,nasdaq_return,nasdaq_return_30d,nasdaq_volatility_30d,nasdaq_drawdown,nasdaq_crash_flag,nasdaq_boom_flag,nasdaq_convexity,nasdaq_liquidity_cost,corr_btc_nasdaq_30d,corr_eth_nasdaq_30d,risk_ratio_btc_vs_nasdaq
2021-02-23,54087.67,54183.59,44892.56,48891.0,169375.025051,,,,,,13227.2,13339.2,12763.1,13162.5,0.0,3881.37,-0.09607864417158285,0.5155347660718104,0.05537192393917057,-0.14836756951096325,1,0,0.19003558937227708,1762878.8258057844,,,,,0,0,,,-0.004680741659356946,-0.015262035686230524,0.012093448896753711,-0.0516520887070046,0,0,0.043768281101614466,0.0,0.3209159539428623,,4.578667229276667
2021-02-24,48891.0,51374.99,46988.69,49676.2,91881.209252,,,,,,13170.7,13336.1,12959.7,13316.1,0.0,3925.43,0.016060215581599868,0.540146709575807,0.05529396711958871,-0.1346901690810275,0,0,0.08829781666069457,5721041.01434714,,,,,0,0,,,0.011669515669515684,-0.011960852693046697,0.01219293225512428,-0.04058532789601851,0,0,0.02826653449583584,0.0,0.3260216805448444,,4.534915852353072
2021-02-25,49676.21,52041.73,46674.34,47073.73,83310.673121,,,,,,13304.8,13357.4,12768.4,12791.8,0.0,3829.34,-0.05238866902057715,0.44986027682221486,0.05666854818807389,-0.1800225994132931,1,0,0.114020919948345,1590241.91253758,,,,,0,0,,,-0.039373390106713035,-0.057076094087468054,0.01404129267684667,-0.07836073605487272,0,0,0.04604512265670195,0.0,0.39068295592803454,,4.035846921918234
2021-02-26,47073.73,48424.11,44106.78,46276.87,109423.200663,,,,,,12794.1,13091.9,12666.9,12909.9,0.0,3811.15,-0.016927912871998907,0.5239623725760427,0.055028289354181026,-0.19390310540743302,0,0,0.09329347468832705,6464065.407812135,,,,,0,0,,,0.009232477055613808,-0.01252141720719624,0.012574197714101924,-0.06985172269694656,0,0,0.03292047188591701,0.0,0.293533606774496,,4.376282832712157
2021-02-27,46276.88,48394.0,45000.0,46106.43,66060.834292,,,,,,12794.1,13091.9,12666.9,12909.9,0.0,3811.15,-0.0036830494370082567,0.3818859123041427,0.0528209273149599,-0.19687200012123623,0,0,0.07361229225511495,17936401.902235147,,,,,0,0,,,0.0,-0.019578210317671374,0.012493768123910605,-0.06985172269694656,0,0,0.03292047188591701,0.0,0.27335506767976536,,4.227778562344657
2021-02-28,46103.67,46638.46,43000.0,45135.66,83055.369042,,,,,,12794.1,13091.9,12666.9,12909.9,0.0,3811.15,-0.021054980834560366,0.317744845586561,0.05308667083124355,-0.21378184476638237,0,0,0.08061164941423253,3944687.969451411,,,,,0,0,,,0.0,0.002142474558114671,0.011841721855853754,-0.06985172269694656,0,0,0.03292047188591701,0.0,0.30452749610954105,,4.483015784975834
2021-03-01,45134.11,49790.0,44950.53,49587.03,85086.111648,,,,,,12971.1,13322.1,12950.8,13317.7,0.0,3901.82,0.09862202081458427,0.4472522449951668,0.0554166860779664,-0.13624342149612856,0,1,0.0975954801084074,862749.5392785751,,,,,0,0,,,0.03158816102371054,0.03379831241315623,0.013159882976589413,-0.04047004913757071,0,0,0.02788018952221488,0.0,0.3885180735753996,,4.211028628921911
2021-03-02,49595.76,50200.0,47047.6,48440.65,64221.06214,,,,,,13309.9,13332.2,13052.9,13059.5,0.0,3870.29,-0.02311854531315949,0.46377419017568067,0.05512340516149947,-0.15621221709580987,0,0,0.06507757431000619,2777901.182408411,,,,,0,0,,,-0.019387732115905942,0.013755307670214156,0.0136860001796534,-0.059073158782079895,0,0,0.021386729966690998,0.0,0.4080262658704201,,4.027719140779967
2021-03-03,48436.61,52640.0,48100.71,50349.37,81035.913705,,,,,,13057.9,13194.7,12667.3,12682.6,0.0,3819.72,0.03940326977445596,0.5017841179942832,0.05531440631597615,-0.12296421945364598,0,0,0.09015584504830945,2056577.8830810245,,,,,0,0,,,-0.02886021670048622,-0.041969452040307664,0.013717484332842788,-0.08622851131893304,0,0,0.04158453313989256,0.0,0.37557317933043866,,4.032398700070241
2021-03-04,50349.37,51773.88,47500.0,48374.09,82649.716829,,,,,,12678.2,12799.3,12309.7,12434.9,0.0,3768.47,-0.0392314739985824,0.3639475174137432,0.05556374191452071,-0.1573716258739767,0,0,0.08835060256430659,2106719.1042782497,,,,,0,0,,,-0.01953069559869436,-0.07946907109650292,0.01347004440106076,-0.10407510411112872,0,0,0.0393730548697616,0.0,0.37742886160475264,,4.124982740243803
2021-03-05,48374.09,49448.93,46300.0,48751.71,78192.496372,,,,,,12433.3,12701.1,12212.3,12656.2,0.0,3841.94,0.007806245037374371,0.29593765043979237,0.054793403342064236,-0.15079386231010458,0,0,0.06459117023792602,10016646.394158805,,,,,0,0,,,0.01779668513618926,-0.057420757864632965,0.013958746638338385,-0.08813061083332124,0,0,0.03862138714622091,0.0,0.37488543320948914,,3.925378510545242
2021-03-06,48746.81,49200.0,47070.0,48882.2,44399.234242,,,,,,12433.3,12701.1,12212.3,12656.2,0.0,3841.94,0.0026766240609816805,0.32340606865915844,0.0545553279237895,-0.14852085672923054,0,0,0.043574143553277066,16587711.741856923,,,,,0,0,,,0.0,-0.06745654560592995,0.013759678203065307,-0.08813061083332124,0,0,0.03862138714622091,0.0,0.3980429233506044,,3.96486658117994
2021-03-07,48882.2,51450.03,48882.2,50971.75,55235.028032,,,,,,12433.3,12701.1,12212.3,12656.2,0.0,3841.94,0.04274664397265271,0.3311943200147087,0.05466641786770293,-0.11212298094169564,0,0,0.05037751303418073,1292148.575356021,,,,,0,0,,,0.0,-0.07020379376717245,0.013731811067227017,-0.08813061083332124,0,0,0.03862138714622091,0.0,0.3951796360613905,,3.981002781792159
2021-03-08,50959.11,52402.78,49274.67,52375.17,66987.359664,,,,,,12723.2,12764.1,12289.1,12336.8,0.0,3821.35,0.027533290499148988,0.33654656372760905,0.05470390537015417,-0.08767680504844488,0,0,0.05972505673967265,2432957.852839709,,,,,0,0,,,-0.02523664291019434,-0.09366872860312381,0.014343439225036583,-0.11114313298845774,0,0,0.03850269113546463,0.0,0.3602612286552469,,3.813859868145812
2021-03-09,52375.18,54895.0,51789.41,54884.5,71656.737076,,,,,,12336.8,12871.0,12330.1,12792.1,0.0,3875.44,0.04791067981259056,0.41470611812807023,0.05495520401528103,-0.04396678056952123,0,0,0.056584099335878005,1495631.5042904927,,,,,0,0,,,0.03690584268205699,-0.06021980928312187,0.016100034030240143,-0.07833912128766368,0,0,0.042283909600456505,0.0,0.3768216906240607,,3.413357374182369
2021-03-10,54874.67,57387.69,53005.0,55851.59,84749.238943,,,,,,12811.1,12996.3,12707.8,12792.5,0.0,3898.81,0.017620457506217546,0.20435033025429483,0.04287276143278631,-0.027121037852014137,0,0,0.0784702816875939,4809704.334637854,,,,,0,0,,,3.1269299020530994e-05,-0.06577035149089694,0.016035723503021994,-0.07831030159805176,0,0,0.022552276724643345,0.0,0.41125533587903385,,2.67357657351357
2021-03-11,55851.59,58150.0,54272.82,57773.16,81914.812859,,,,,,12789.8,13122.4,12727.6,13046.8,0.0,3939.34,0.034404929206133694,0.2445634916702608,0.043141675938533304,0.0,0,0,0.06711040213137034,2380902.706097393,,,,,0,0,,,0.01987883525503209,-0.048040159939293225,0.016526751732809847,-0.05998818392725913,0,0,0.03026029371186799,0.0,0.42549705625676615,,2.6104131369478174
2021-03-12,57773.15,58081.51,54962.84,57221.72,73405.406047,,,,,,13049.9,13097.1,12774.0,12941.7,0.0,3943.34,-0.009544916705265916,0.27705446266011236,0.042517193287454444,-0.009544916705265945,0,0,0.05450150746954138,7690515.423916497,,,,,0,0,,,-0.008055615170003305,-0.05347804781721499,0.016569546755800513,-0.06756055737279702,0,0,0.024965808201395517,0.0,0.43477250552004737,,2.565982537376591
2021-03-13,57221.72,61844.0,56078.23,61188.39,83245.091346,,,,,,13049.9,13097.1,12774.0,12941.7,0.0,3943.34,0.06932105501197783,0.2755683766625925,0.04245560730998914,0.0,0,1,0.09422980405269687,1200862.844960854,,,,,0,0,,,0.0,-0.05658300468730626,0.01654625748680974,-0.06756055737279702,0,0,0.024965808201395517,0.0,0.42596811456223277,,2.565872172913538
2021-03-14,61188.38,61724.79,58966.78,58968.31,52601.05275,,,,,,13049.9,13097.1,12774.0,12941.7,0.0,3943.34,-0.03628270003508838,0.2470142278313976,0.043058836075094434,-0.036282700035088385,0,0,0.046771053808393054,1449755.3434991608,,,,,0,0,,,0.0,-0.06398628710293341,0.016448823840730122,-0.06756055737279702,0,0,0.024965808201395517,0.0,0.42920882787028863,,2.6177439988768927
