,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,nasdaq_open,nasdaq_high,nasdaq_low,nasdaq_close,nasdaq_volume
2021-01-11 16:00:00,31582.82,33585.17,30420.0,32254.62,51176.262042,,,,,,12994.2,13025.6,12905.8,13007.1,0.0
2021-01-11 20:00:00,32254.63,35638.55,31408.07,35404.47,32936.928365,,,,,,13007.4,13021.6,12885.6,12918.2,0.0
2021-01-12 00:00:00,35410.37,35547.19,33677.03,34984.96,20156.062178,,,,,,12924.3,12957.4,12911.3,12935.4,0.0
2021-01-12 04:00:00,34984.95,36628.0,34520.69,36413.6,21820.925278,,,,,,12935.4,12949.4,12899.4,12928.8,0.0
2021-01-12 08:00:00,36413.6,36499.98,34757.0,35410.99,20129.584186,,,,,,12928.8,12971.7,12923.1,12964.0,0.0
2021-01-12 12:00:00,35410.99,35688.82,32531.0,33829.4,32930.544669,,,,,,12964.1,12968.4,12879.6,12895.7,0.0
2021-01-12 16:00:00,33829.4,35550.0,33819.11,34685.11,19491.04941,,,,,,12895.9,12960.2,12780.5,12858.3,0.0
2021-01-12 20:00:00,34686.1,35051.02,33260.74,34051.24,19419.986275,,,,,,12858.3,12922.5,12851.8,12894.4,0.0
2021-01-13 00:00:00,34049.15,34375.51,32380.0,33818.5,27424.984325,,,,,,12889.9,12933.9,12884.1,12929.8,0.0
2021-01-13 04:00:00,33818.5,35180.67,32800.0,34986.9,18746.308974,,,,,,12930.0,12947.5,12924.7,12928.3,0.0
2021-01-13 08:00:00,34986.9,35250.0,34200.0,34385.48,21211.79171,,,,,,12927.4,12944.3,12918.9,12933.8,0.0
2021-01-13 12:00:00,34385.48,35100.0,34017.0,34673.9,16102.347966,,,,,,12933.9,12941.0,12834.1,12882.2,0.0
2021-01-13 16:00:00,34673.9,36188.0,34388.53,36002.25,17747.20155,,,,,,12882.3,13006.3,12874.8,12985.8,0.0
2021-01-13 20:00:00,36002.24,37850.0,35704.21,37371.38,23245.280413,,,,,,12985.8,13016.0,12971.2,12989.1,0.0
2021-01-14 00:00:00,37371.38,38172.22,37000.0,37045.13,16138.473791,,,,,,12984.9,13026.1,12980.2,13022.6,0.0
2021-01-14 04:00:00,37045.13,38596.92,36701.23,38198.34,15764.35508,,,,,,13023.1,13027.5,12944.4,12977.1,0.0
2021-01-14 08:00:00,38199.52,38786.1,37862.04,38365.86,13654.697529,,,,,,12977.3,12994.8,12948.5,12966.2,0.0
2021-01-14 12:00:00,38365.86,40100.0,37707.0,39546.01,25980.308922,,,,,,12966.2,13002.5,12936.1,12995.4,0.0
2021-01-14 16:00:00,39546.01,40000.0,39212.15,39876.98,14738.643826,,,,,,12995.5,13042.1,12947.3,12994.7,0.0
2021-01-14 20:00:00,39876.97,39935.1,38259.25,39144.5,16673.910273,,,,,,12994.3,12995.8,12894.3,12912.7,0.0
2021-01-15 00:00:00,39145.21,39747.76,38450.0,38700.0,12973.737042,,,,,,12921.8,12940.9,12882.6,12899.9,0.0
2021-01-15 04:00:00,38700.0,38853.09,37554.94,38473.08,14317.810678,,,,,,12899.9,12929.2,12843.6,12846.7,0.0
2021-01-15 08:00:00,38473.07,38780.0,37923.0,38108.88,11723.414644,,,,,,12846.3,12913.0,12843.6,12890.7,0.0
2021-01-15 12:00:00,38108.87,38194.04,35258.0,35610.72,28829.424903,,,,,,12890.5,12923.5,12864.6,12906.9,0.0
2021-01-15 16:00:00,35610.79,36433.51,34408.0,35217.26,35005.439351,,,,,,12906.8,12943.4,12757.2,12863.2,0.0
2021-01-15 20:00:00,35218.94,36888.0,34801.15,36742.22,15451.094298,,,,,,12863.2,12900.3,12769.6,12774.3,0.0
2021-01-16 00:00:00,36737.43,37669.0,35852.93,36532.92,15996.272919,,,,,,12863.2,12900.3,12769.6,12774.3,0.0
2021-01-16 04:00:00,36532.92,36959.61,35520.0,36574.86,12788.977347,,,,,,12863.2,12900.3,12769.6,12774.3,0.0
2021-01-16 08:00:00,36565.74,37950.0,36375.88,37680.0,14546.1365,,,,,,12863.2,12900.3,12769.6,12774.3,0.0
